"sexo";"nacimiento";"estatura";"peso";"grupo_rh"
"F";"1973-10-18";1.66;67.2;"O+"
"F";"1987-06-07";1.36;59.8;"O-"
"F";"1968-11-22";1.6;73.6;"O-"
"M";"1984-08-20";1.48;70.3;"A+"
"F";"1978-05-03";1.73;42.6;"A+"
"F";"1979-03-24";1.6;62.9;"B+"
"M";"1982-11-15";1.86;68.1;"A+"
"M";"1991-11-12";1.64;69.7;"B+"
"M";"1981-10-03";1.66;70.2;"B+"
"M";"1988-11-23";1.99;69.1;"O-"
"M";"1986-04-21";1.93;64.5;"O+"
"M";"1976-04-09";1.58;75.1;"A+"
"M";"1980-05-10";1.62;78.4;"A+"
"F";"1979-04-22";1.99;62.7;"O+"
"F";"1998-10-24";1.63;59.6;"A+"
"F";"1983-04-10";1.42;68.5;"O+"
"F";"1977-05-22";1.56;65.3;"B+"
"F";"1979-05-20";1.78;81.6;"O+"
"F";"1983-11-07";1.56;80.1;"B+"
"M";"1988-03-09";1.43;67.5;"A+"
"F";"1993-10-24";1.55;85.5;"O+"
"F";"1990-09-27";1.43;57.5;"A+"
"M";"1974-11-02";1.89;80.6;"A-"
"M";"1984-05-26";1.55;58.9;"A+"
"M";"1983-06-02";0.97;77.6;"B+"
"M";"1981-11-10";1.62;56.9;"AB+"
"M";"1993-07-20";1.71;99.1;"A+"
"M";"1993-11-25";1.73;87.4;"O+"
"M";"1974-11-09";1.89;67.3;"O+"
"M";"1973-04-27";1.73;53.6;"O+"
"M";"1968-09-18";1.75;51.5;"O+"
"F";"1976-04-12";1.32;86.2;"A+"
"F";"1984-07-28";1.73;64.5;"O+"
"M";"1981-04-19";2.01;89.4;"A-"
"F";"1977-08-15";1.57;64.1;"O+"
"F";"1963-08-26";1.58;66.9;"B+"
"M";"1984-05-27";1.72;66.3;"O+"
"M";"1973-08-18";1.92;75.6;"O+"
"F";"1981-02-24";1.38;73.4;"O+"
"F";"1965-09-04";1.54;76.5;"O+"
"F";"1977-09-05";1.43;72.9;"B+"
"F";"1979-06-16";1.86;63.3;"A+"
"F";"1991-09-14";1.61;67.7;"B+"
"M";"1988-04-26";1.62;78.4;"A+"
"F";"1974-09-22";1.5;68.5;"O-"
"M";"1989-10-17";1.82;62.8;"A+"
"F";"1984-02-08";1.45;79.9;"B+"
"F";"1975-08-21";1.56;73.7;"O+"
"M";"1972-04-18";1.98;84.7;"O+"
"F";"1981-06-26";1.48;63.1;"O+"
"F";"1971-10-07";1.56;65;"O+"
"M";"1979-02-07";1.71;82;"B+"
"M";"1982-07-21";1.55;53.5;"O+"
"M";"1969-08-24";1.72;69.1;"AB-"
"F";"1983-03-23";1.45;69;"O+"
"F";"1984-02-20";1.6;75.4;"B+"
"M";"1978-02-19";1.64;60;"A+"
"M";"1986-10-19";1.66;76.4;"A+"
"M";"1982-05-15";1.89;72.9;"O+"
"M";"1988-11-25";1.93;63.6;"B+"
"M";"1975-04-20";1.71;51.2;"O+"
"F";"1972-09-08";1.66;69.5;"B+"
"F";"1984-03-05";1.57;75.8;"O-"
"F";"1970-11-06";1.52;64.1;"O+"
"M";"1986-06-13";1.75;73.6;"A+"
"M";"1973-02-23";1.81;77.8;"O+"
"F";"1982-09-23";1.84;79.5;"O+"
"F";"1969-05-17";1.51;73;"O+"
"F";"1997-07-15";1.65;66;"O-"
"F";"1986-09-14";1.37;59.2;"A+"
"F";"1996-03-24";1.68;75.8;"O+"
"F";"1988-04-06";1.56;79.7;"A+"
"M";"1984-07-13";1.82;65.1;"O+"
"F";"1979-09-28";1.5;71.1;"O+"
"M";"1967-09-08";1.77;77.5;"O+"
"F";"1975-06-09";1.63;53.6;"O+"
"M";"1994-05-11";2.12;72;"O+"
"M";"1967-08-11";1.5;52;"B+"
"M";"1974-09-21";1.66;90.4;"O+"
"F";"1993-04-18";1.97;55.2;"O+"
"M";"1980-03-04";1.33;64.3;"O+"
"M";"1972-11-07";1.49;57.8;"B+"
"M";"1976-11-01";1.43;76.6;"AB+"
"M";"1988-06-07";1.38;73.2;"B+"
"M";"1958-08-05";1.86;82.8;"B+"
"F";"1988-09-08";1.7;66;"B+"
"M";"1977-11-14";1.35;66.6;"A+"
"M";"1965-11-22";1.62;67.6;"A+"
"M";"1979-08-10";1.54;65.8;"O+"
"M";"1973-09-06";1.69;78.7;"O+"
"F";"1982-06-10";1.73;72.3;"A-"
"M";"1972-07-06";1.55;81.3;"O+"
"F";"1984-11-24";1.49;61.6;"A+"
"M";"1971-04-03";1.65;76.3;"A+"
"F";"1977-11-22";1.63;58.5;"A+"
"F";"1990-05-01";1.63;68.6;"B+"
"M";"1977-04-24";1.28;76.7;"A+"
"M";"1977-08-08";1.62;83.6;"B+"
"M";"1975-08-09";1.55;66.1;"B+"
"F";"1977-11-05";1.42;62.5;"O+"
"M";"1974-08-28";1.61;70.9;"O+"
"M";"1985-08-10";1.57;51.2;"A+"
"F";"1994-07-10";1.78;75.7;"B+"
"M";"1973-07-26";1.36;53;"A+"
"F";"1987-04-10";1.48;61.8;"A+"
"F";"1988-07-16";1.5;76.6;"O+"
"M";"1970-09-08";1.59;66;"O+"
"M";"1984-08-12";1.58;56.8;"O+"
"M";"1992-11-01";1.63;83.6;"A+"
"F";"1970-03-04";1.41;60.7;"A+"
"M";"1975-10-13";1.42;82.5;"B+"
"M";"1989-10-26";1.71;74.8;"A+"
"M";"1974-04-08";1.62;63;"A+"
"F";"1973-05-19";2.05;34.7;"O+"
"F";"1978-08-14";1.74;65.5;"O+"
"F";"1990-08-02";1.42;69.2;"O+"
"M";"1982-09-08";1.74;70.6;"O-"
"M";"1984-03-10";1.61;76.1;"B+"
"F";"1970-10-25";1.64;72.4;"A+"
"M";"1970-05-02";1.87;53.1;"O+"
"M";"1993-08-11";1.52;67.7;"O+"
"M";"1982-05-04";1.79;69.9;"A+"
"F";"1973-03-25";2.13;82.8;"B+"
"F";"1974-06-15";1.66;70;"B+"
"M";"1980-08-15";1.8;58;"AB+"
"F";"1969-09-12";1.48;72.5;"A-"
"M";"1992-08-20";1.67;75.5;"O+"
"F";"1976-04-04";1.5;71;"B+"
"M";"1979-04-17";1.64;67.7;"AB+"
"M";"1969-08-01";1.79;68.9;"A+"
"F";"1976-08-03";1.54;63.1;"A+"
"M";"1976-07-14";1.81;71.7;"B-"
"F";"1981-05-24";1.41;57.8;"A+"
"F";"1974-09-01";1.84;67.1;"AB+"
"M";"1966-09-18";1.61;70.6;"O+"
"M";"1981-06-16";1.43;88.1;"O+"
"F";"1973-08-22";1.54;72.7;"B+"
"M";"1979-11-18";1.71;65.8;"O+"
"M";"1983-10-09";1.58;70.4;"O+"
"F";"1990-07-18";1.48;58.6;"A+"
"F";"1991-02-25";1.72;76.5;"O+"
"F";"1981-08-01";1.49;83.9;"A-"
"M";"1967-07-05";1.56;73.4;"O+"
"F";"1980-11-01";1.52;54.4;"O+"
"M";"1974-04-15";1.77;62.5;"B+"
"F";"1970-09-07";1.94;79.5;"O+"
"F";"1979-04-19";1.69;77.8;"B-"
"F";"1989-02-11";1.69;82.1;"A+"
"F";"1987-03-17";1.52;88.2;"A+"
"F";"1973-11-28";1.69;74;"A+"
"M";"1971-03-12";1.42;64.4;"O+"
"M";"1972-08-17";1.78;84.1;"O+"
"F";"1983-10-12";1.65;86.1;"O+"
"M";"1967-09-11";1.54;60.2;"A+"
"M";"1973-04-21";1.73;67;"O-"
"F";"1974-07-11";1.65;61.2;"B+"
"M";"1979-09-22";1.77;73.5;"A+"
"M";"1985-09-24";1.74;78.1;"B+"
"M";"1979-10-11";1.7;70.7;"O+"
"F";"1984-09-15";1.72;66.9;"A+"
"F";"1978-06-19";1.51;78.8;"O+"
"M";"1988-10-08";1.53;71.2;"A+"
"F";"1980-02-12";1.6;59.8;"B+"
"F";"1973-09-17";1.32;56.4;"A+"
"M";"1985-03-21";1.71;80.2;"AB+"
"F";"1977-06-06";1.69;70.2;"O+"
"M";"1987-03-10";1.8;80.2;"A+"
"F";"1975-08-13";1.84;74.4;"O+"
"F";"1968-06-01";1.63;69.5;"A+"
"F";"1980-10-27";1.33;89.7;"A+"
"M";"1972-10-25";1.71;71.7;"A+"
"F";"1978-08-08";1.72;48.8;"O+"
"M";"1988-05-05";1.85;77.8;"A-"
"F";"1976-07-18";1.41;44.1;"O+"
"F";"1967-08-05";1.56;73.9;"B+"
"M";"1978-09-15";1.59;88.1;"B+"
"M";"1977-03-21";1.66;80.5;"B+"
"M";"1974-04-21";1.7;70;"AB+"
"M";"1976-08-09";1.12;68.4;"A+"
"M";"1988-02-05";1.59;68.9;"B+"
"F";"1985-08-21";1.47;72.5;"A+"
"M";"1972-07-13";1.79;77.8;"B+"
"M";"1990-04-05";1.49;69.7;"O+"
"M";"1977-09-06";1.71;57.3;"A+"
"M";"1987-06-03";1.5;79.7;"A+"
"F";"1981-09-21";1.44;66.4;"B+"
"M";"1979-02-12";1.47;69.4;"AB+"
"M";"1982-06-17";1.56;57.8;"O+"
"M";"1977-04-05";1.64;73.9;"O+"
"M";"1969-09-28";1.8;63.3;"A+"
"M";"1971-08-16";1.94;60.5;"O+"
"F";"1984-08-11";1.84;70.9;"A+"
"F";"1985-03-14";1.92;67.2;"A+"
"F";"1983-03-01";1.54;81.6;"O+"
"F";"1987-07-14";1.72;69.7;"A+"
"M";"1974-06-27";1.94;62.3;"O-"
"M";"1976-03-18";1.7;77.9;"B+"
"M";"1982-07-01";1.76;65.1;"A+"
"M";"1995-04-25";1.55;67.5;"B+"
"M";"1965-03-24";1.63;72.3;"O-"
"F";"1979-10-07";1.61;73.9;"O+"
"F";"1981-05-01";1.61;62.8;"A+"
"F";"1964-03-17";1.63;82.2;"A+"
"F";"1953-07-06";1.21;72.3;"O+"
"F";"1984-02-15";1.63;71.4;"B+"
"M";"1982-07-24";1.94;66.8;"O+"
"M";"1984-02-23";1.33;81.2;"A+"
"F";"1988-05-03";1.55;69.3;"B+"
"M";"1978-04-22";1.81;96;"A+"
"M";"1990-06-23";1.68;68.5;"B+"
"M";"1982-06-18";1.85;71.4;"O-"
"M";"1987-09-11";1.89;82.4;"B+"
"M";"1964-04-17";1.7;73.6;"B+"
"M";"1972-10-25";1.69;78.8;"B+"
"M";"1969-05-01";1.77;70.9;"B+"
"F";"1975-08-21";1.77;87.8;"B-"
"M";"1975-06-23";1.55;60.8;"O+"
"M";"1995-02-16";1.55;71.1;"A-"
"M";"1977-08-25";1.83;45.9;"A+"
"F";"1973-05-02";1.59;66.5;"O+"
"M";"1979-02-22";1.6;56.9;"A-"
"F";"1986-09-05";1.26;70.9;"O+"
"F";"1988-03-17";1.55;61;"O+"
"F";"1977-03-14";1.62;73.7;"AB+"
"M";"1980-06-22";1.76;73;"A+"
"F";"1991-10-20";1.86;69.8;"A+"
"M";"1980-10-24";1.44;80.2;"A+"
"M";"1987-09-05";1.64;75.3;"O+"
"F";"1991-03-21";1.31;67.7;"O+"
"F";"1980-03-23";1.5;72.7;"O+"
"F";"1966-08-01";1.68;57.2;"B+"
"M";"1980-04-13";1.5;76.3;"O+"
"M";"1972-07-26";1.54;65.4;"O+"
"M";"1990-06-27";1.74;58.1;"AB+"
"M";"1980-11-24";1.63;100.2;"B+"
"M";"1977-07-18";1.73;72.8;"O+"
"F";"1978-09-17";1.29;75;"B+"
"F";"1985-11-18";1.48;88.9;"O+"
"M";"1974-11-25";1.66;94.8;"A+"
"M";"1980-05-07";1.77;74.6;"AB-"
"F";"1993-03-16";1.61;34.7;"O-"
"M";"1974-05-26";1.88;64.6;"O+"
"M";"1979-11-19";1.18;46.7;"A+"
"M";"1982-10-09";1.61;80;"B+"
"F";"1983-06-03";1.74;66.7;"O+"
"M";"1986-10-17";1.45;66.2;"A-"
"M";"1990-11-09";1.66;60;"A+"
"F";"1985-05-26";1.6;72;"O+"
"M";"1986-10-04";1.72;67.4;"B+"
"F";"1982-10-28";1.3;56.8;"A+"
"F";"1987-03-02";1.51;81.2;"B+"
"M";"1977-09-17";1.66;97.4;"A+"
"M";"1977-10-21";1.88;70.1;"A+"
"F";"1973-08-08";1.59;62.7;"A+"
"F";"1973-10-16";1.26;83.8;"B+"
"F";"1977-04-11";1.44;59.3;"O+"
"M";"1981-08-03";1.74;78.9;"A+"
"F";"1980-06-17";1.72;60.6;"O+"
"F";"1980-07-13";1.51;73;"B+"
"F";"1981-05-17";1.72;64.7;"B+"
"M";"1991-02-02";1.4;49.4;"A+"
"M";"1972-08-20";1.96;61.3;"AB+"
"F";"1983-11-12";1.9;59.4;"A+"
"M";"1970-05-28";1.8;70.8;"A-"
"M";"1985-03-27";1.44;80.2;"O+"
"F";"1990-07-08";1.55;76.6;"AB+"
"M";"1983-06-03";1.62;95.9;"B+"
"F";"1969-05-02";1.6;62.9;"O+"
"M";"1985-02-26";1.58;68.3;"B+"
"M";"1981-09-06";1.79;54;"AB-"
"F";"1984-09-13";1.51;52.4;"O+"
"M";"1963-03-16";1.67;56.5;"B+"
"M";"1995-08-18";1.66;77;"O+"
"F";"1987-09-14";1.49;71.3;"O+"
"F";"1990-02-25";1.67;67.8;"B-"
"M";"1982-05-18";1.57;74.8;"A+"
"M";"1979-02-22";1.82;65.4;"A+"
"M";"1981-10-27";1.65;66.4;"A+"
"M";"1994-11-11";1.5;60.8;"O+"
"F";"1980-08-17";1.36;55.6;"A+"
"M";"1975-07-11";1.76;71.4;"AB+"
"F";"1980-10-16";1.42;73.8;"O+"
"F";"1979-09-16";1.57;80.2;"A+"
"F";"1974-10-26";1.46;79.1;"A+"
"F";"1975-02-18";1.27;59.9;"A-"
"F";"1979-06-22";1.67;58.4;"B+"
"F";"1988-04-10";1.55;65;"O+"
"F";"1987-07-20";1.45;76;"A+"
"M";"1982-06-11";1.56;73.3;"O+"
"M";"1987-11-23";1.63;63.3;"O+"
"F";"1979-10-01";1.5;88.7;"B+"
"M";"1971-02-11";1.48;64.7;"O+"
"F";"1988-11-11";1.54;64.4;"B+"
"F";"1988-05-08";1.53;74.5;"AB+"
"M";"1984-11-09";1.52;71.2;"O-"
"F";"1986-11-15";1.62;76.4;"O+"
"M";"1980-10-16";1.51;88.8;"B+"
"F";"1995-03-25";1.67;76.1;"AB+"
"F";"1992-08-17";1.69;64.3;"O+"
"M";"1975-03-13";1.69;59.5;"B+"
"M";"1973-04-24";1.67;78.4;"A+"
"F";"1988-02-13";1.49;71.4;"B+"
"F";"1974-09-17";1.58;69.6;"O+"
"F";"1971-08-23";1.59;71.5;"A+"
"F";"1974-04-19";1.6;56.5;"O+"
"F";"1978-06-26";1.42;46.7;"A+"
"F";"1990-07-19";1.65;63.4;"B+"
"M";"1989-09-09";1.25;50.2;"O+"
"M";"1970-02-25";1.34;77.4;"AB+"
"M";"1976-08-26";1.76;61.9;"O+"
"F";"1996-05-27";1.32;93.8;"A-"
"F";"1976-09-08";1.81;74.2;"A+"
"M";"1979-10-16";1.96;73.9;"A+"
"M";"1977-10-22";1.85;61.4;"B+"
"M";"1979-03-24";1.75;65.1;"O+"
"M";"1980-06-04";1.63;70.3;"B+"
"F";"1984-10-12";1.54;81.2;"A+"
"M";"1976-04-20";1.7;74;"A+"
"M";"1982-08-21";1.58;59.3;"B+"
"F";"1975-10-08";1.11;46.9;"O+"
"M";"1975-10-05";1.62;80.4;"O+"
"M";"1984-06-25";1.93;53.8;"AB+"
"F";"1970-11-09";1.63;84.8;"O+"
"F";"1990-02-05";1.61;83.2;"O+"
"M";"1985-07-10";1.83;54.7;"A+"
"F";"1988-05-23";1.46;48.6;"O+"
"M";"1974-09-28";1.88;58.5;"AB+"
"M";"1979-04-27";1.56;76;"O+"
"M";"1969-05-18";1.7;57.3;"B+"
"F";"1979-10-04";1.82;80.1;"O+"
"M";"1983-03-05";1.9;79.2;"A+"
"M";"1983-08-14";1.75;77;"O+"
"F";"1977-02-14";1.55;78.3;"O+"
"F";"1973-09-17";1.63;66.5;"B-"
"F";"1978-03-28";1.54;75.5;"A+"
"F";"1988-10-02";1.4;68.8;"A+"
"F";"1984-10-26";1.3;83.4;"O+"
"F";"1973-07-25";1.69;74.4;"A+"
"F";"1971-03-21";1.67;74.9;"O+"
"M";"1971-09-19";1.68;62.3;"O+"
"F";"1977-08-06";1.7;67;"B+"
"M";"1981-10-25";1.91;71.5;"O+"
"F";"1982-05-05";1.67;70.1;"B+"
"M";"1975-03-13";1.78;69.9;"O+"
"M";"1977-02-17";1.87;64.7;"B+"
"F";"1982-08-13";1.62;50.5;"B+"
"M";"1978-03-24";1.46;57.9;"O+"
"F";"1975-07-14";1.67;58.9;"B+"
"F";"1981-04-27";1.61;80.3;"B+"
"M";"1997-04-10";1.75;60.2;"O+"
"F";"1972-08-22";1.77;54.2;"B+"
"F";"1976-07-15";1.56;62.2;"A+"
"M";"1981-02-28";1.85;52.4;"O+"
"M";"1985-02-14";1.58;59.7;"A+"
"F";"1980-08-09";1.53;78.9;"O+"
"M";"1976-09-13";1.71;64.9;"O+"
"F";"1980-05-15";1.71;78.5;"O+"
"M";"1975-05-17";1.59;84.4;"O+"
"F";"1976-04-24";1.67;75.6;"O+"
"F";"1974-05-04";1.62;69.7;"O+"
"F";"1987-04-17";1.49;77.4;"A+"
"M";"1982-07-05";1.86;69.7;"A+"
"F";"1989-10-28";1.7;58.5;"O+"
"M";"1982-04-09";1.72;85.8;"O+"
"M";"1983-07-01";1.75;55.8;"B+"
"M";"1989-06-18";1.63;54.7;"O+"
"F";"1967-11-13";1.53;57.3;"A+"
"F";"1969-08-06";1.74;63.3;"O+"
"F";"1976-03-05";1.39;80.8;"A+"
"M";"1987-05-16";1.55;82.1;"O-"
"F";"1970-04-10";1.77;63.8;"O+"
"F";"1980-10-06";1.26;74.2;"A+"
"F";"1985-02-09";1.26;93.3;"O+"
"M";"1983-04-20";1.97;66.6;"A+"
"M";"1966-10-10";1.62;85;"O-"
"F";"1982-03-02";1.82;71;"A-"
"F";"1967-07-24";1.39;69;"B+"
"F";"1986-10-20";1.4;80.1;"O+"
"F";"1981-07-12";1.64;71.8;"AB+"
"F";"1963-04-09";1.53;74.9;"A+"
"M";"1961-05-26";1.49;86.7;"A+"
"F";"1990-04-26";1.42;67.7;"O+"
"F";"1989-05-08";1.4;72.4;"O+"
"F";"1977-04-15";1.57;78.8;"AB-"
"M";"1975-06-21";1.78;73.3;"O+"
"M";"1977-07-17";1.75;70;"O+"
"M";"1971-11-20";1.64;73.7;"A+"
"M";"1983-04-14";1.64;94.1;"O+"
"F";"1995-05-12";1.55;57.7;"B+"
"F";"1988-07-11";1.48;70.1;"A+"
"M";"1976-10-18";1.58;74.8;"O+"
"M";"1971-02-05";2.22;50.5;"A+"
"M";"1986-03-16";1.31;74.7;"B-"
"M";"1984-10-07";1.83;67.8;"O+"
"F";"1986-05-14";1.35;78.7;"O+"
"M";"1973-11-06";1.56;73.4;"A+"
"F";"1981-05-12";1.53;84.4;"O+"
"F";"1984-06-19";1.55;67.6;"O+"
"M";"1982-06-24";1.51;76;"O+"
"F";"1985-10-09";1.68;60.3;"O+"
"M";"1989-07-04";1.92;65.6;"A+"
"M";"1982-09-13";1.66;55.2;"O+"
"F";"1978-03-26";1.7;70;"A+"
"M";"1978-06-01";1.68;62;"O+"
"M";"1973-02-17";1.46;63.4;"A+"
"M";"1978-07-10";1.31;67.7;"B+"
"M";"1984-03-23";1.67;67.4;"B+"
"F";"1987-10-07";1.4;64.8;"B+"
"M";"1975-05-18";1.48;79.4;"B+"
"M";"1976-08-14";1.82;87.2;"O+"
"M";"1977-05-23";1.67;85;"A+"
"F";"1975-07-04";1.26;79;"O+"
"F";"1984-04-13";1.44;68.6;"O+"
"F";"1965-10-10";1.38;81.7;"O+"
"M";"1978-09-07";1.56;70.6;"O+"
"F";"1977-06-23";1.71;77.7;"O-"
"F";"1983-06-14";1.34;76.4;"A+"
"F";"1993-02-28";1.76;77.1;"A+"
"M";"1978-11-11";1.83;64.8;"A+"
"M";"1976-10-12";1.52;68.8;"O+"
"F";"1982-11-11";1.85;74.8;"O+"
"F";"1982-11-27";1.55;71.3;"A+"
"F";"1990-02-21";1.84;84.8;"O+"
"M";"1993-10-08";1.64;77.6;"A+"
"M";"1968-08-27";1.72;70.5;"AB+"
"F";"1967-04-21";1.33;59.6;"A+"
"F";"1979-08-23";1.43;47.9;"O+"
"F";"1979-02-02";1.49;86.4;"O+"
"M";"1982-03-14";1.74;70.8;"A+"
"F";"1984-10-07";1.43;73.9;"O+"
"F";"1979-09-18";1.77;62.2;"O+"
"M";"1980-03-24";1.64;71.3;"B+"
"M";"1978-10-06";1.88;84;"A+"
"M";"1984-08-19";2.05;64.6;"B+"
"M";"1984-10-09";1.85;73.9;"A+"
"F";"1973-04-03";1.41;74.8;"A+"
"M";"1983-03-25";1.46;75.3;"O+"
"F";"1975-03-17";1.56;59.8;"O+"
"M";"1981-05-08";1.73;79.4;"B+"
"F";"1969-09-01";1.77;68.4;"O+"
"F";"1984-04-06";1.57;91.3;"O+"
"F";"1986-11-24";1.72;68.8;"B+"
"M";"1980-08-25";1.4;87.3;"O+"
"M";"1975-10-19";1.65;55.8;"AB+"
"M";"1979-06-26";1.62;58.1;"AB+"
"F";"1980-02-02";1.35;70.5;"A-"
"F";"2000-04-03";1.63;84.4;"O+"
"F";"1982-09-01";1.6;68.6;"A+"
"M";"1968-08-01";1.57;77.1;"A+"
"M";"1969-10-18";1.56;67.6;"B+"
"M";"1978-02-19";1.98;72.6;"O+"
"M";"1978-03-26";1.45;63.1;"O+"
"M";"1966-04-24";1.46;60;"O-"
"M";"1987-11-12";1.61;72.3;"O-"
"M";"1973-08-15";1.7;66.1;"A+"
"M";"1978-02-22";1.86;68.7;"O+"
"M";"1994-08-06";1.82;79;"B+"
"M";"1998-06-25";1.6;84;"A+"
"M";"1973-11-21";1.69;73.7;"A-"
"M";"1986-04-25";1.62;53.9;"O+"
"M";"1972-09-16";1.7;72.2;"A+"
"M";"1990-03-27";1.79;58.8;"A+"
"F";"1981-04-13";1.39;71.4;"O+"
"F";"1984-07-05";1.2;72;"O-"
"F";"1987-03-12";1.63;79.7;"A+"
"F";"1968-05-27";1.51;72.2;"B+"
"F";"1984-11-28";1.36;91.5;"O-"
"M";"1982-07-22";1.73;68.3;"A+"
"F";"1975-06-19";1.68;70.2;"A+"
"M";"1982-03-04";1.52;70.5;"A+"
"M";"1969-07-12";1.3;68.8;"O+"
"M";"1975-09-19";1.98;68.3;"B+"
"M";"1974-10-28";1.71;70.6;"AB+"
"M";"1984-08-07";1.81;76.8;"A+"
"F";"1979-04-01";1.45;66.4;"B+"
"M";"1982-02-27";1.41;69.6;"A+"
"M";"1988-08-08";1.78;80.1;"O+"
"F";"1970-11-20";1.72;64.7;"A+"
"M";"1983-06-04";1.8;75.7;"A+"
"M";"1981-09-19";1.53;63.4;"A+"
"F";"1984-07-02";1.8;49.6;"A-"
"M";"1962-07-02";1.54;73.7;"O+"
"M";"1975-10-16";1.79;73.8;"O+"
"F";"1985-10-14";1.86;85.6;"AB+"
"M";"1971-10-28";1.61;49.7;"AB+"
"F";"1980-10-09";1.46;61.8;"B+"
"F";"1975-10-23";1.32;63.8;"B+"
"M";"1991-04-12";1.48;81.1;"B-"
"M";"1974-03-17";1.72;70.7;"A+"
"F";"1972-10-22";1.69;47.4;"B+"
"F";"1984-09-12";1.53;80.7;"O+"
"F";"1989-06-16";1.37;75.9;"O+"
"F";"1979-07-03";1.52;83.3;"A+"
"F";"1976-08-11";1.67;74.7;"O+"
"M";"1977-05-27";1.53;75.5;"O+"
"F";"1981-04-06";1.6;75.8;"B+"
"M";"1978-03-28";1.39;68.5;"A+"
"M";"1983-05-12";1.83;64.7;"B+"
"M";"1969-04-03";1.84;79.7;"AB+"
"F";"1973-03-07";1.55;68.8;"A+"
"M";"1966-09-06";1.71;57.5;"A-"
"M";"1982-02-06";1.82;76.7;"A+"
"M";"1982-02-25";1.79;69;"O+"
"M";"1973-07-19";1.56;71;"B+"
"F";"1974-09-01";1.53;82.4;"A+"
"M";"1975-05-28";1.56;60.2;"A+"
"M";"1993-06-17";1.46;56.6;"O+"
"M";"1985-07-28";1.53;60.1;"O+"
"F";"1982-06-23";1.86;62.3;"O+"
"M";"1983-10-27";1.98;78.7;"A+"
"F";"1967-09-20";1.25;54.7;"O+"
"F";"1982-08-28";1.47;86.7;"O+"
"M";"1981-10-27";2.06;55.3;"A-"
"F";"1980-08-16";1.53;66.2;"O+"
"M";"1976-11-26";1.83;93.3;"O+"
"M";"1991-03-10";1.8;64.5;"A+"
"F";"1979-02-11";1.56;69;"B+"
"F";"1991-03-01";1.58;80.9;"A+"
"F";"1974-10-08";1.65;73.3;"O-"
"F";"1976-07-08";1.72;76.3;"O+"
"M";"1971-05-22";1.72;66;"B+"
"M";"1981-02-15";1.8;63.4;"A+"
"F";"1976-06-02";1.49;46.3;"AB+"
"F";"1976-09-18";1.44;58.5;"A+"
"F";"1985-06-27";1.77;72;"O+"
"M";"1976-05-27";1.51;60.4;"O-"
"M";"1971-07-03";1.59;82.6;"O+"
"M";"1979-02-28";1.73;88.4;"A+"
"F";"1976-11-22";1.37;89.9;"B+"
"M";"1984-07-01";1.29;68.8;"O+"
"M";"1981-09-23";1.56;75.1;"O+"
"F";"1980-10-11";1.51;82.7;"AB+"
"F";"1971-02-21";1.55;63.7;"B-"
"M";"1973-11-21";1.71;72.6;"A+"
"F";"1981-04-02";1.5;69.2;"O+"
"M";"1993-04-22";1.53;65.2;"B+"
"M";"1978-06-20";1.66;78.7;"B-"
"M";"1988-04-18";1.62;80.8;"O+"
"M";"1981-05-18";1.68;59.7;"O+"
"F";"1988-11-15";1.67;63.1;"B+"
"F";"1983-11-21";1.51;88;"B-"
"M";"1979-07-06";1.88;80;"A+"
"F";"1983-04-07";1.7;52.7;"A+"
"M";"1979-09-14";1.82;61.6;"AB+"
"M";"1974-05-24";1.73;70.3;"A+"
"M";"1986-02-12";1.64;73.2;"B+"
"M";"1971-07-12";1.79;55.2;"A+"
"M";"1976-08-15";1.79;72.2;"AB+"
"F";"1977-11-11";1.82;79.9;"A+"
"F";"1970-04-27";1.96;60;"AB+"
"M";"1971-06-03";1.68;65.5;"B+"
"F";"1980-08-24";1.63;84.4;"B+"
"M";"1977-06-25";1.79;75.5;"A+"
"M";"1982-11-24";1.67;65.2;"B-"
"F";"1981-08-02";1.58;61.3;"O+"
"M";"1972-10-14";1.47;52.8;"O+"
"M";"1980-11-22";1.34;63.4;"O+"
"F";"1980-08-27";1.68;74.2;"O+"
"F";"1971-04-20";1.83;61;"O+"
"F";"1976-04-22";1.52;64.8;"O+"
"F";"1975-04-06";1.62;82.9;"A+"
"M";"1973-04-25";1.81;74.9;"A+"
"F";"1976-07-07";1.8;72.3;"O+"
"M";"1982-03-23";1.46;69.9;"A+"
"F";"1979-04-01";1.35;77.6;"A+"
"M";"1983-07-25";1.48;58;"B+"
"M";"1975-08-12";1.87;54.9;"A+"
"M";"1987-03-16";1.57;51;"O-"
"F";"1983-04-14";1.23;81.9;"O+"
"F";"1982-06-02";1.77;70.3;"O+"
"M";"1983-03-09";1.82;61.6;"A+"
"F";"1984-03-02";1.41;63.6;"O+"
"M";"1988-06-01";1.9;50.2;"O+"
"F";"1970-08-28";1.55;58.4;"AB+"
"F";"1985-09-08";1.46;68.6;"O+"
"M";"1978-10-18";2.09;83.9;"B-"
"F";"1971-03-06";1.41;72;"AB+"
"F";"1974-10-28";1.36;63.6;"A+"
"F";"1973-02-14";1.72;76.4;"O+"
"F";"1972-04-15";1.44;59.6;"AB+"
"M";"1975-05-13";1.44;83.2;"B+"
"F";"1992-09-21";1.77;78.7;"B+"
"F";"1966-04-10";1.4;67.3;"B+"
"M";"1997-04-28";1.63;80;"B+"
"F";"1973-02-07";1.72;68.3;"O+"
